wardId,lat,lng
6172,11.9377636,109.158275
284,11.6425583,108.9383377
16668,11.542846,109.0260018
5148,12.4048121,109.2712585
7708,12.4520977,109.2236831
5916,12.1929902,109.1761126
3100,12.2409935,109.1963968
3612,11.59925,109.0156
7196,12.5079519,109.1344926
540,11.5682492,108.9918254
5660,12.2552529,109.1463836
19223,11.7039024,106.5937658
10519,10.9478972,107.2584189
17687,10.9364413,106.8045949
10263,10.9966814,107.2376329
18967,11.6379094,106.5937658
17175,11.5099618,106.9004472
19735,11.4258058,106.6527099
17431,11.5375007,106.8060388
11287,10.8803302,107.2075388
16407,10.9651886,106.9344457
15895,10.9413981,106.9004472
16663,10.8528849,106.8676157
11031,10.9262271,107.2607289
19479,11.4840974,106.5937658
18455,11.8155831,106.9542194
18711,11.810292,107.0185123
1047,10.5308689,107.1706079
18199,10.9466267,106.8561884
1303,10.8733554,106.947666
5911,11.0108494,106.8296372
17943,10.9396145,106.8355372
16151,10.9924652,106.8651493
10775,10.9085511,107.1898113
1294,20.9266466,106.3875898
5134,20.8449115,106.6880841
27662,20.8594817,106.5996595
9742,20.8444157,106.635025
11278,20.8207489,106.38391
7438,21.0532624,106.4523662
17678,21.0532624,106.4523662
18702,21.1071114,106.3169479
28174,21.0833787,106.3817021
27150,20.7148231,106.7765443
2830,20.8440099,106.7287434
2574,20.7645427,106.7411559
10254,20.8469174,106.6969285
2062,20.8107387,106.7411559
17934,20.9454327,106.3434358
12302,20.943698,106.682188
11022,20.9184349,106.5878723
26382,20.8683599,106.6556575
27406,20.8050671,106.682188
4622,20.8227321,106.6497623
19470,20.9777271,106.543676
26894,20.8548368,106.6813411
19214,21.0371086,106.3817021
13070,20.9443947,106.6173415
6158,20.9309576,106.314005
12046,20.9807192,106.6586052
2318,20.7171746,106.7529514
18446,20.8902599,106.5149533
12558,20.9146873,106.7411559
26638,20.8636563,106.702825
19726,20.967009,106.5642998
18958,20.8645582,106.6951643
20238,21.0375373,106.5525145
19982,21.0179312,106.5171626
4878,20.7854766,106.6468148
1038,20.885499,106.208825
6414,20.9011507,106.293406
18190,20.9454327,106.3434358
11790,20.9021888,106.635025
26126,20.8911205,106.6880841
